image_name,xmin,xmax,ymin,ymax,class_id
1479498379965419997.jpg,663,585,752,656,1
1479498379965419997.jpg,725,570,796,639,1
1479498379965419997.jpg,790,583,828,627,1
1479498379965419997.jpg,948,582,1003,629,1
1479498379965419997.jpg,1061,582,1117,634,1
1479498379965419997.jpg,989,587,1018,616,1
1479498379965419997.jpg,1007,586,1033,618,1
1479498379965419997.jpg,1046,582,1069,624,1
1479498379965419997.jpg,1871,794,1920,988,1
1479498382449249006.jpg,1374,481,1909,807,1
1479498382449249006.jpg,31,575,366,755,1
1479498382449249006.jpg,389,569,617,687,1
1479498382449249006.jpg,589,540,718,652,1
1479498382449249006.jpg,714,558,782,634,1
1479498382449249006.jpg,971,564,1037,623,1
1479498382449249006.jpg,1112,558,1206,628,1
1479498382449249006.jpg,869,562,940,601,1
1479498382449249006.jpg,771,569,812,621,1
1479498382449249006.jpg,811,566,850,620,1
1479498382449249006.jpg,1088,559,1127,618,1
1479498382449249006.jpg,1220,542,1259,621,3
1479498381465380454.jpg,396,576,582,697,1
1479498381465380454.jpg,565,575,709,667,1
1479498381465380454.jpg,1233,539,1462,714,1
1479498381465380454.jpg,1387,440,1919,866,1
1479498381465380454.jpg,682,555,788,646,1
1479498381465380454.jpg,1108,570,1189,636,1
1479498381465380454.jpg,979,576,1044,626,1
1479498381465380454.jpg,1085,575,1139,628,1
1479498381465380454.jpg,1071,585,1105,619,1
1479498381465380454.jpg,1022,585,1058,619,1
1479498381465380454.jpg,761,572,838,631,1
1479498381465380454.jpg,812,575,860,623,1
1479498381465380454.jpg,911,574,983,613,1
1479498382965792478.jpg,0,577,152,790,1
1479498382965792478.jpg,268,572,528,718,1
1479498382965792478.jpg,518,549,678,668,1
1479498382965792478.jpg,677,565,759,641,1
1479498382965792478.jpg,750,579,785,630,1
1479498382965792478.jpg,772,578,804,629,1
1479498382965792478.jpg,790,581,822,622,1
1479498382965792478.jpg,966,572,1033,624,1
1479498382965792478.jpg,1121,567,1221,644,1
1479498382965792478.jpg,1090,570,1142,631,1
1479498382965792478.jpg,1076,575,1106,627,1
1479498382965792478.jpg,1630,458,1920,960,1
1479498383466326914.jpg,1125,560,1241,638,1
1479498383466326914.jpg,1090,562,1149,632,1
1479498383466326914.jpg,951,564,1027,620,1
1479498383466326914.jpg,636,554,726,632,1
1479498383466326914.jpg,421,528,618,677,1
1479498383466326914.jpg,55,566,405,744,1
1479498383466326914.jpg,1245,536,1290,620,3
1479498383466326914.jpg,712,562,751,628,1
1479498383466326914.jpg,852,563,890,601,1
1479498383466326914.jpg,734,566,776,618,1
1479498383466326914.jpg,763,572,802,615,1
1479498384442876688.jpg,951,562,1031,624,1
1479498384442876688.jpg,1114,552,1200,636,1
1479498384442876688.jpg,1164,554,1341,667,1
1479498384442876688.jpg,646,560,710,632,1
1479498384442876688.jpg,536,544,658,661,1
1479498384442876688.jpg,139,515,466,722,1
1479498384442876688.jpg,716,569,765,626,1
1479498384442876688.jpg,1348,523,1387,636,3
1479498384442876688.jpg,755,561,803,599,1
1479498384442876688.jpg,834,563,873,601,1
1479498384442876688.jpg,1017,559,1069,618,1
1479498384442876688.jpg,684,565,736,632,1
1479498384963639932.jpg,0,498,346,769,1
1479498384963639932.jpg,471,542,619,663,1
1479498384963639932.jpg,603,561,680,638,1
1479498384963639932.jpg,659,563,715,627,1
1479498384963639932.jpg,696,565,750,623,1
1479498384963639932.jpg,1203,542,1422,688,1
1479498384963639932.jpg,1136,550,1253,652,1
1479498384963639932.jpg,1101,557,1157,638,1
1479498384963639932.jpg,1078,561,1126,621,1
1479498384963639932.jpg,951,554,1036,625,1
1479498384963639932.jpg,1022,561,1057,617,1
1479498384963639932.jpg,1040,561,1080,611,1
1479498384963639932.jpg,832,561,871,586,1
1479498384963639932.jpg,1421,505,1473,646,3
1479498384963639932.jpg,773,558,809,585,1
1479498386466851996.jpg,1436,539,1920,836,1
1479498386466851996.jpg,1224,541,1494,722,1
1479498386466851996.jpg,1154,563,1266,677,1
1479498386466851996.jpg,1118,576,1192,665,1
1479498386466851996.jpg,1100,574,1154,650,1
1479498386466851996.jpg,940,553,1056,647,1
1479498386466851996.jpg,126,547,410,723,1
1479498386466851996.jpg,391,556,533,677,1
1479498386466851996.jpg,523,564,609,671,1
1479498386466851996.jpg,588,569,676,665,1
1479498386466851996.jpg,802,569,849,609,1
1479498386466851996.jpg,734,562,787,601,1
1479498386466851996.jpg,1025,559,1079,638,1
1479498386466851996.jpg,1062,565,1104,630,1
1479498386466851996.jpg,921,565,960,624,1
1479498385966154564.jpg,1319,536,1708,761,1
1479498385966154564.jpg,1184,544,1378,683,1
1479498385966154564.jpg,945,554,1041,636,1
1479498385966154564.jpg,280,542,495,703,1
1479498385966154564.jpg,476,558,597,654,1
1479498385966154564.jpg,1131,552,1229,661,1
1479498385966154564.jpg,566,557,657,638,1
1479498385966154564.jpg,626,563,705,632,1
1479498385966154564.jpg,1013,549,1069,620,1
1479498385966154564.jpg,811,551,852,590,1
1479498385966154564.jpg,748,557,786,595,1
1479498385966154564.jpg,1054,553,1100,618,1
1479498385966154564.jpg,1087,559,1164,630,1
1479498385966154564.jpg,929,557,967,615,1
1479498387466479165.jpg,1373,522,1917,838,1
1479498387466479165.jpg,1220,548,1459,730,1
1479498387466479165.jpg,1167,571,1271,693,1
1479498387466479165.jpg,1125,561,1241,664,1
1479498387466479165.jpg,935,553,1063,668,1
1479498387466479165.jpg,919,568,962,636,1
1479498387466479165.jpg,1042,566,1103,642,1
1479498387466479165.jpg,1076,568,1143,627,1
1479498387466479165.jpg,790,568,836,597,1
1479498387466479165.jpg,488,576,606,669,1
1479498387466479165.jpg,373,572,523,693,1
1479498387466479165.jpg,156,569,416,725,1
1479498387466479165.jpg,1,530,155,769,1
1479498387466479165.jpg,723,568,769,595,1
1479498389464606786.jpg,2,547,171,761,1
1479498389464606786.jpg,139,553,401,726,1
1479498389464606786.jpg,926,540,1113,694,1
1479498389464606786.jpg,1061,547,1162,655,1
1479498389464606786.jpg,1210,538,1467,723,1
1479498389464606786.jpg,1332,550,1790,822,1
1479498389464606786.jpg,1646,562,1920,1034,1
1479498389464606786.jpg,1440,521,1575,564,1
1479498389464606786.jpg,1123,536,1231,634,1
1479498389464606786.jpg,892,542,953,646,1
1479498389464606786.jpg,751,550,806,589,1
1479498389464606786.jpg,663,548,728,587,1
1479498389464606786.jpg,466,556,513,595,1
1479498389464606786.jpg,405,558,454,597,1
1479498389464606786.jpg,532,553,590,592,1
1479498389464606786.jpg,1634,520,1750,559,1
1479498388466168072.jpg,1346,538,1900,847,1
1479498388466168072.jpg,1840,691,1916,1065,1
1479498388466168072.jpg,1233,571,1438,730,1
1479498388466168072.jpg,1157,560,1317,681,1
1479498388466168072.jpg,935,556,1078,681,1
1479498388466168072.jpg,0,564,190,779,1
1479498388466168072.jpg,160,569,380,724,1
1479498388466168072.jpg,356,573,511,691,1
1479498388466168072.jpg,1055,562,1129,646,1
1479498388466168072.jpg,908,556,957,646,1
1479498388466168072.jpg,1110,556,1174,638,1
1479498388466168072.jpg,767,556,822,595,1
1479498388466168072.jpg,693,558,759,597,1
1479498388466168072.jpg,501,563,539,601,1
1479498389966519477.jpg,1484,523,1628,573,1
1479498389966519477.jpg,1132,542,1255,632,1
1479498389966519477.jpg,1088,550,1184,648,1
1479498389966519477.jpg,880,542,980,644,1
1479498389966519477.jpg,930,530,1134,700,1
1479498389966519477.jpg,744,546,800,596,1
1479498389966519477.jpg,665,546,721,590,1
1479498389966519477.jpg,446,559,500,584,1
1479498389966519477.jpg,375,561,442,588,1
1479498389966519477.jpg,12,563,344,736,1
1479498389966519477.jpg,500,542,686,617,1
1479498389966519477.jpg,1242,532,1534,755,1
1479498389966519477.jpg,1411,540,1914,884,1
1479498391966209986.jpg,1541,527,1920,1026,1
1479498391966209986.jpg,1233,550,1414,664,1
1479498391966209986.jpg,985,545,1240,767,1
1479498391966209986.jpg,1198,565,1257,701,1
1479498391966209986.jpg,838,557,1014,691,1
1479498391966209986.jpg,736,566,791,605,1
1479498391966209986.jpg,634,568,695,602,1
1479498391966209986.jpg,155,574,222,613,1
1479498391966209986.jpg,1204,530,1441,609,1
1479498391966209986.jpg,476,570,541,609,1
1479498391966209986.jpg,389,568,453,607,1
1479498391966209986.jpg,310,568,383,607,1
1479498391966209986.jpg,1566,534,1711,597,1
1479498390964153934.jpg,1734,689,1916,1008,1
1479498390964153934.jpg,1362,530,1873,820,1
1479498390964153934.jpg,1227,528,1431,598,1
1479498390964153934.jpg,1170,542,1299,646,1
1479498390964153934.jpg,1135,550,1209,661,1
1479498390964153934.jpg,959,544,1178,718,1
1479498390964153934.jpg,869,542,986,654,1
1479498390964153934.jpg,454,552,695,626,1
1479498390964153934.jpg,6,556,127,775,1
1479498390964153934.jpg,732,550,798,595,1
1479498390964153934.jpg,344,558,407,597,1
1479498390964153934.jpg,191,557,268,595,1
1479498390964153934.jpg,418,557,470,595,1
1479498390964153934.jpg,651,549,707,588,1
1479498392966162658.jpg,1610,530,1807,593,1
1479498392966162658.jpg,1370,543,1667,654,1
1479498392966162658.jpg,989,549,1318,808,1
1479498392966162658.jpg,793,556,1015,703,1
1479498392966162658.jpg,707,564,768,608,1
1479498392966162658.jpg,444,576,498,597,1
1479498392966162658.jpg,601,569,664,599,1
1479498392966162658.jpg,353,576,418,598,1
1479498392966162658.jpg,270,580,344,602,1
1479498392966162658.jpg,61,577,193,615,1
1479498392966162658.jpg,196,578,257,599,1
1479498393466501007.jpg,1014,542,1374,841,1
1479498393466501007.jpg,777,550,1014,715,1
1479498393466501007.jpg,1558,534,1883,646,1
1479498393466501007.jpg,705,562,765,601,1
1479498393466501007.jpg,587,566,659,605,1
1479498393466501007.jpg,342,566,401,605,1
1479498393466501007.jpg,256,569,335,609,1
1479498393466501007.jpg,63,568,174,611,1
1479498394463918193.jpg,741,533,1021,739,1
1479498394463918193.jpg,1040,528,1536,907,1
1479498394463918193.jpg,1672,509,1893,592,1
1479498394463918193.jpg,685,544,759,599,1
1479498394463918193.jpg,577,548,656,595,1
1479498394463918193.jpg,303,556,382,605,1
1479498394463918193.jpg,391,564,477,603,1
1479498394463918193.jpg,219,564,295,603,1
1479498394463918193.jpg,39,558,135,614,1
1479498395464437392.jpg,1127,503,1668,919,1
1479498395464437392.jpg,704,526,1021,759,1
1479498395464437392.jpg,1709,483,1893,580,1
1479498395464437392.jpg,675,537,743,592,1
1479498395464437392.jpg,563,548,636,592,1
1479498395464437392.jpg,278,558,355,590,1
1479498395464437392.jpg,189,561,270,594,1
1479498395464437392.jpg,1157,528,1218,586,1
1479498395464437392.jpg,1107,531,1162,586,1
1479498395464437392.jpg,1082,534,1138,580,1
1479498395464437392.jpg,2,559,102,611,1
1479498395964946961.jpg,1160,497,1719,944,1
1479498395964946961.jpg,675,514,1018,775,1
1479498395964946961.jpg,1739,477,1920,586,1
1479498395964946961.jpg,1198,530,1265,601,1
1479498395964946961.jpg,1178,519,1265,592,1
1479498395964946961.jpg,668,539,731,601,1
1479498395964946961.jpg,1105,537,1176,584,1
1479498395964946961.jpg,1085,532,1138,577,1
1479498395964946961.jpg,1078,530,1136,581,1
1479498395964946961.jpg,557,543,624,592,1
1479498395964946961.jpg,359,550,457,595,1
1479498395964946961.jpg,258,555,350,599,1
1479498395964946961.jpg,169,557,267,601,1
1479498395964946961.jpg,4,552,94,606,1
1479498395964946961.jpg,131,557,185,601,1
1479498396964620740.jpg,1321,528,1838,943,1
1479498396964620740.jpg,640,536,960,768,1
1479498396964620740.jpg,1569,515,1916,701,1
1479498396964620740.jpg,1245,548,1370,589,1
1479498396964620740.jpg,569,552,656,601,1
1479498396964620740.jpg,274,568,368,613,1
1479498396964620740.jpg,188,573,286,613,1
1479498396964620740.jpg,2,569,110,616,1
1479498396964620740.jpg,1106,539,1179,584,1
1479498396964620740.jpg,1145,551,1202,592,1
1479498396964620740.jpg,1220,534,1333,588,1
1479498397956718105.jpg,521,542,812,761,1
1479498397956718105.jpg,1541,540,1920,914,1
1479498397956718105.jpg,1265,556,1426,604,1
1479498397956718105.jpg,1288,565,1426,615,1
1479498397956718105.jpg,1180,569,1242,611,1
1479498397956718105.jpg,1161,571,1213,611,1
1479498397956718105.jpg,1148,565,1209,607,1
1479498397956718105.jpg,278,586,360,617,1
1479498397956718105.jpg,182,588,274,621,1
1479498397956718105.jpg,0,579,42,636,1
1479498397956718105.jpg,23,586,96,625,1
1479498397956718105.jpg,822,586,924,621,1
1479498397956718105.jpg,884,582,950,619,1
1479498397956718105.jpg,891,582,970,619,1
1479498398464810598.jpg,387,538,680,743,1
1479498398464810598.jpg,1709,536,1920,928,1
1479498398464810598.jpg,248,579,342,628,1
1479498398464810598.jpg,700,572,786,628,1
1479498398464810598.jpg,1297,565,1453,628,1
1479498398464810598.jpg,1187,568,1259,626,1
1479498398464810598.jpg,818,581,921,635,1
1479498398464810598.jpg,162,583,252,628,1
1479498398464810598.jpg,1277,555,1445,611,1
1479498398464810598.jpg,0,582,66,634,1
1479498398464810598.jpg,875,580,946,632,1
1479498398464810598.jpg,1152,563,1208,615,1
1479498398965062294.jpg,223,532,503,720,1
1479498398965062294.jpg,678,566,769,632,1
1479498398965062294.jpg,560,571,628,616,1
1479498398965062294.jpg,1313,558,1466,613,1
1479498398965062294.jpg,1190,568,1266,609,1
1479498398965062294.jpg,818,579,918,622,1
1479498398965062294.jpg,123,581,213,620,1
1479498398965062294.jpg,1152,562,1190,618,1
1479498398965062294.jpg,1280,556,1339,615,1
1479498398965062294.jpg,1170,568,1232,619,1
1479498398965062294.jpg,200,570,276,633,1
1479498398965062294.jpg,82,587,128,638,1
1479498399466018917.jpg,14,515,305,711,1
1479498399466018917.jpg,662,547,751,604,1
1479498399466018917.jpg,521,547,648,602,1
1479498399466018917.jpg,1324,530,1514,593,1
1479498399466018917.jpg,1192,541,1281,596,1
1479498399466018917.jpg,1151,535,1229,590,1
1479498399466018917.jpg,1169,544,1244,593,1
1479498399466018917.jpg,1264,538,1339,587,1
1479498399466018917.jpg,786,556,915,607,1
1479498399466018917.jpg,843,556,938,602,1
1479498399466018917.jpg,930,552,971,594,1
1479498399466018917.jpg,965,557,996,592,1
1479498400965421686.jpg,0,581,92,765,1
1479498400965421686.jpg,196,616,299,661,1
1479498400965421686.jpg,313,624,442,663,1
1479498400965421686.jpg,456,630,577,673,1
1479498400965421686.jpg,722,628,869,691,1
1479498400965421686.jpg,890,618,994,695,1
1479498400965421686.jpg,1728,638,1908,719,1
1479498400965421686.jpg,1699,624,1911,701,1
1479498400965421686.jpg,1532,648,1644,697,1
1479498400965421686.jpg,1652,654,1701,699,1
1479498400965421686.jpg,1474,634,1534,685,1
1479498400965421686.jpg,1497,656,1536,695,1
1479498400965421686.jpg,1046,645,1188,696,1
1479498400965421686.jpg,1145,645,1215,702,1
1479498400965421686.jpg,1198,654,1225,694,1
1479498400965421686.jpg,1202,642,1252,700,1
1479498400965421686.jpg,1248,651,1277,691,1
1479498400965421686.jpg,1647,630,1697,699,1
1479498400465050134.jpg,675,583,775,648,1
1479498400465050134.jpg,119,587,233,628,1
1479498400465050134.jpg,1446,579,1632,648,1
1479498400465050134.jpg,1409,571,1507,656,1
1479498400465050134.jpg,1274,593,1374,654,1
1479498400465050134.jpg,1250,591,1307,646,1
1479498400465050134.jpg,1221,585,1260,638,1
1479498400465050134.jpg,822,593,961,661,1
1479498400465050134.jpg,4,589,117,638,1
1479498400465050134.jpg,515,577,658,652,1
1479498400465050134.jpg,258,579,364,640,1
1479498400465050134.jpg,913,595,985,651,1
1479498400465050134.jpg,958,599,1025,651,1
1479498400465050134.jpg,996,597,1060,636,1
1479498401964713391.jpg,1282,610,1427,713,1
1479498401964713391.jpg,1085,602,1248,690,1
1479498401964713391.jpg,757,616,932,680,1
1479498401964713391.jpg,600,613,763,668,1
1479498401964713391.jpg,461,604,635,660,1
1479498401964713391.jpg,164,593,407,675,1
1479498401964713391.jpg,372,594,505,660,1
1479498401964713391.jpg,1478,625,1629,704,1
1479498401964713391.jpg,1571,635,1662,697,1
1479498401964713391.jpg,81,624,171,677,1
1479498401964713391.jpg,0,609,71,789,1
1479498402964163459.jpg,1374,577,1569,652,1
1479498402964163459.jpg,1778,564,1914,665,1
1479498402964163459.jpg,1176,579,1333,648,1
1479498402964163459.jpg,1004,573,1182,650,1
1479498402964163459.jpg,663,577,924,648,1
1479498402964163459.jpg,577,573,665,638,1
1479498402964163459.jpg,384,583,513,644,1
1479498402964163459.jpg,25,575,198,652,1
1479498402964163459.jpg,198,571,286,654,1
1479498402964163459.jpg,505,572,599,647,1
1479498402964163459.jpg,297,588,414,649,1
1479498403964075689.jpg,0,560,138,734,1
1479498403964075689.jpg,359,554,476,608,1
1479498403964075689.jpg,593,535,770,632,1
1479498403964075689.jpg,737,517,923,623,1
1479498403964075689.jpg,908,521,1009,604,1
1479498403964075689.jpg,1008,535,1146,606,1
1479498403964075689.jpg,1116,524,1278,599,1
1479498403964075689.jpg,1464,497,1821,610,1
1479498403964075689.jpg,1353,538,1545,620,1
1479498403964075689.jpg,1242,522,1347,595,1
1479498403964075689.jpg,1326,515,1452,595,1
1479498405967021772.jpg,866,566,1026,686,1
1479498405967021772.jpg,135,566,324,678,1
1479498405967021772.jpg,0,578,125,680,1
1479498405967021772.jpg,1779,545,1920,642,1
1479498404967201465.jpg,442,551,628,694,1
1479498404967201465.jpg,1160,529,1286,580,1
1479498404967201465.jpg,1432,488,1672,603,1
1479498404967201465.jpg,1629,450,1877,601,1
1479498404967201465.jpg,1872,461,1920,570,1
1479498406967589592.jpg,1005,563,1133,662,1
1479498406967589592.jpg,0,541,113,706,1
1479498406967589592.jpg,622,572,672,613,1
1479498406467355722.jpg,0,563,112,677,1
1479498406467355722.jpg,52,557,284,688,1
1479498406467355722.jpg,960,565,1101,673,1
1479498406467355722.jpg,718,587,746,607,1
1479498407944246424.jpg,1123,565,1244,664,1
1479498407944246424.jpg,1638,557,1718,611,1
1479498407944246424.jpg,933,576,964,607,1
1479498407944246424.jpg,967,576,998,607,1
1479498407944246424.jpg,598,577,687,630,1
1479498407944246424.jpg,837,582,868,613,1
1479498408460147688.jpg,1139,576,1237,656,1
1479498408460147688.jpg,491,570,605,641,1
1479498408460147688.jpg,920,579,953,608,1
1479498408460147688.jpg,1676,563,1825,614,1
1479498408460147688.jpg,820,577,867,614,1
1479498408967982155.jpg,1139,581,1240,661,1
1479498408967982155.jpg,1749,574,1896,623,1
1479498408967982155.jpg,362,586,490,662,1
1479498408967982155.jpg,906,585,939,615,1
1479498408967982155.jpg,818,595,848,618,1
1479498409468057837.jpg,84,577,281,674,1
1479498409468057837.jpg,1122,574,1205,655,1
1479498409468057837.jpg,1771,568,1911,622,1
1479498409468057837.jpg,854,576,892,615,1
1479498409468057837.jpg,771,578,809,617,1
1479498410467998365.jpg,1088,564,1162,636,1
1479498410467998365.jpg,773,571,822,613,1
1479498410467998365.jpg,722,581,761,620,1
1479498410467998365.jpg,846,565,884,603,1
1479498411468144442.jpg,649,560,725,620,1
1479498411468144442.jpg,1057,564,1134,624,1
1479498411468144442.jpg,796,572,834,600,1
1479498411468144442.jpg,1809,545,1901,593,1
1479498410968143277.jpg,1076,566,1153,624,1
1479498410968143277.jpg,724,558,783,611,1
1479498410968143277.jpg,824,564,863,603,1
1479498410968143277.jpg,694,570,732,609,1
1479498410968143277.jpg,1328,553,1422,592,1
1479498410968143277.jpg,1728,530,1767,601,1
1479498411969255051.jpg,533,553,640,636,1
1479498411969255051.jpg,1030,555,1118,633,1
1479498411969255051.jpg,749,571,804,603,1
1479498411969255051.jpg,634,568,684,599,1
1479498412956490497.jpg,11,544,275,710,1
1479498412956490497.jpg,657,576,729,628,1
1479498412956490497.jpg,1032,568,1110,633,1
1479498412956490497.jpg,840,575,869,596,1
1479498412956490497.jpg,1732,543,1897,588,1
1479498412956490497.jpg,1487,549,1618,585,1
1479498412956490497.jpg,615,580,661,623,1
1479498412956490497.jpg,796,582,819,603,1
1479498414968291651.jpg,1038,573,1094,620,1
1479498414968291651.jpg,790,577,826,607,1
1479498414968291651.jpg,508,589,571,630,1
1479498413469674593.jpg,573,569,669,634,1
1479498413469674593.jpg,1056,562,1117,615,1
1479498413469674593.jpg,845,564,871,590,1
1479498413469674593.jpg,1558,542,1742,581,1
1479498414458215550.jpg,1045,564,1102,609,1
1479498414458215550.jpg,0,563,135,727,1
1479498414458215550.jpg,545,579,603,614,1
1479498414458215550.jpg,814,568,846,593,1
1479498414458215550.jpg,1816,530,1919,579,1
1479498414458215550.jpg,1767,517,1920,572,1
1479498415965237081.jpg,722,569,771,616,1
1479498415965237081.jpg,1033,564,1086,609,1
1479498415965237081.jpg,413,585,491,638,1
1479498415965237081.jpg,1728,503,1918,566,1
1479498415965237081.jpg,1553,543,1667,582,1
1479498415965237081.jpg,1383,545,1466,584,1
1479498415965237081.jpg,1875,524,1920,563,1
1479498415965237081.jpg,1461,534,1561,572,1
1479498415965237081.jpg,692,574,730,613,1
1479498415965237081.jpg,497,578,536,617,1
1479498416465642752.jpg,1035,556,1088,609,1
1479498416465642752.jpg,659,564,732,618,1
1479498416465642752.jpg,341,579,446,648,1
1479498416465642752.jpg,748,568,787,607,1
1479498416465642752.jpg,865,564,904,603,1
1479498416465642752.jpg,461,578,520,617,1
1479498416465642752.jpg,1611,545,1792,584,1
1479498416965787036.jpg,263,593,383,661,1
1479498416965787036.jpg,568,572,661,646,1
1479498416965787036.jpg,1037,564,1094,618,1
1479498416965787036.jpg,724,579,769,610,1
1479498416965787036.jpg,414,588,463,627,1
1479498416965787036.jpg,1737,542,1903,590,1
1479498416965787036.jpg,1636,542,1728,578,1
1479498416965787036.jpg,1465,555,1601,578,1
1479498416965787036.jpg,986,561,1015,590,2
1479498416965787036.jpg,863,573,903,602,1
1479498417965856534.jpg,0,549,132,743,1
1479498417965856534.jpg,460,578,532,633,1
1479498417965856534.jpg,621,578,678,618,1
1479498417965856534.jpg,1036,562,1084,604,1
1479498417965856534.jpg,119,587,170,681,1
1479498417965856534.jpg,262,591,348,632,1
1479498417965856534.jpg,166,592,277,644,1
1479498417965856534.jpg,152,593,225,651,1
1479498417965856534.jpg,347,582,405,624,1
1479498417965856534.jpg,847,569,880,596,1
1479498417965856534.jpg,978,555,1008,585,2
1479498417965856534.jpg,1636,536,1792,574,1
1479498418466411127.jpg,1024,553,1074,595,1
1479498418466411127.jpg,290,571,391,644,1
1479498418466411127.jpg,519,566,595,618,1
1479498418466411127.jpg,1726,520,1919,578,1
1479498418466411127.jpg,1682,524,1817,563,1
1479498418466411127.jpg,826,561,863,589,1
1479498418466411127.jpg,146,588,274,626,1
1479498418466411127.jpg,50,584,175,634,1
1479498418466411127.jpg,0,595,131,644,1
1479498418466411127.jpg,967,549,994,578,2
1479498418966452881.jpg,1024,564,1071,606,1
1479498418966452881.jpg,814,571,850,600,1
1479498418966452881.jpg,361,573,472,647,1
1479498418966452881.jpg,0,582,142,683,1
1479498418966452881.jpg,133,602,192,640,1
1479498418966452881.jpg,161,594,233,636,1
1479498419466839188.jpg,1026,579,1075,623,1
1479498419466839188.jpg,801,584,847,617,1
1479498419466839188.jpg,702,595,741,628,1
1479498419466839188.jpg,7,594,227,703,1
1479498419967327905.jpg,42,574,140,620,1
